2020-11-27_14-29-17-322, ypr, -6.39, 5.16, 0.70, areal, 500, -1268, -927
2020-11-27_14-29-17-341, ypr, -6.26, 5.64, 1.76, areal, 1823, 3710, -7090
2020-11-27_14-29-17-357, ypr, -6.24, 5.47, 1.88, areal, 469, 3895, -3076
2020-11-27_14-29-17-372, ypr, -6.18, 5.14, 1.67, areal, -456, 3139, -82
2020-11-27_14-29-17-391, ypr, -6.24, 4.78, 1.43, areal, 308, 946, 1799
2020-11-27_14-29-17-408, ypr, -6.38, 4.52, 0.61, areal, 21, -3572, 939
2020-11-27_14-29-17-424, ypr, -6.42, 4.28, 0.53, areal, -513, -837, -3657
2020-11-27_14-29-17-441, ypr, -6.46, 4.20, 0.65, areal, -723, 146, -4526
2020-11-27_14-29-17-459, ypr, -6.44, 3.90, 0.44, areal, -871, 1281, 419
2020-11-27_14-29-17-477, ypr, -6.38, 3.89, 0.61, areal, 159, 582, 1057
2020-11-27_14-29-17-491, ypr, -6.37, 3.88, 0.44, areal, 650, -644, 590
2020-11-27_14-29-17-509, ypr, -6.42, 3.73, 0.06, areal, 129, -1292, 479
2020-11-27_14-29-17-527, ypr, -6.63, 3.47, 0.44, areal, -328, 974, 1020
2020-11-27_14-29-17-542, ypr, -6.75, 3.40, 0.57, areal, 138, 996, 128
2020-11-27_14-29-17-558, ypr, -6.89, 3.39, 0.70, areal, 454, 609, -3309
2020-11-27_14-29-17-576, ypr, -7.03, 3.06, 0.06, areal, -1009, -1168, 7
2020-11-27_14-29-17-591, ypr, -7.13, 2.99, 0.14, areal, -1068, -255, 2116
2020-11-27_14-29-17-608, ypr, -7.22, 3.15, 0.71, areal, -113, 862, -49
2020-11-27_14-29-17-625, ypr, -7.29, 3.47, 0.87, areal, 179, 778, -2583
2020-11-27_14-29-17-640, ypr, -7.31, 3.64, 0.97, areal, 286, 1114, -3803
2020-11-27_14-29-17-657, ypr, -7.52, 3.76, 0.72, areal, -75, 23, -650
2020-11-27_14-29-17-672, ypr, -7.62, 3.85, 0.59, areal, 358, -444, 513
2020-11-27_14-29-17-689, ypr, -7.75, 4.32, 0.35, areal, 1725, -1551, -1507
2020-11-27_14-29-17-706, ypr, -7.91, 4.76, -0.10, areal, 2129, -1920, -1099
2020-11-27_14-29-17-721, ypr, -8.02, 4.91, -0.09, areal, 2041, -951, 870
2020-11-27_14-29-17-739, ypr, -8.33, 5.17, 0.29, areal, 2489, 852, 1653
2020-11-27_14-29-17-755, ypr, -8.58, 5.65, 0.99, areal, 3690, 3253, -2
2020-11-27_14-29-17-770, ypr, -8.63, 5.92, 1.17, areal, 3909, 2621, -524
2020-11-27_14-29-17-786, ypr, -8.60, 6.16, 0.80, areal, 3055, -394, 2750
2020-11-27_14-29-17-801, ypr, -8.59, 6.39, 0.77, areal, 3524, -1006, 2689
2020-11-27_14-29-17-822, ypr, -8.43, 7.09, 0.76, areal, 3760, -2505, -2218
2020-11-27_14-29-17-839, ypr, -8.20, 7.79, 0.77, areal, 3392, -655, -3644
2020-11-27_14-29-17-856, ypr, -8.03, 8.16, 1.07, areal, 2909, 1039, 945
2020-11-27_14-29-17-871, ypr, -7.86, 8.34, 1.32, areal, 3116, 1216, 1073
2020-11-27_14-29-17-887, ypr, -7.38, 8.88, 1.68, areal, 2427, 1156, -1066
2020-11-27_14-29-17-902, ypr, -7.09, 9.02, 1.82, areal, 1540, 962, -98
2020-11-27_14-29-17-919, ypr, -6.48, 9.24, 1.98, areal, 427, -559, 2728
2020-11-27_14-29-17-935, ypr, -5.89, 9.87, 2.74, areal, 615, 1660, -3202
2020-11-27_14-29-17-950, ypr, -5.66, 10.19, 3.11, areal, 69, 2330, -3375
2020-11-27_14-29-17-967, ypr, -5.15, 10.36, 2.83, areal, -1266, -626, 1525
2020-11-27_14-29-17-982, ypr, -4.96, 10.59, 2.92, areal, -776, -286, 791
2020-11-27_14-29-17-999, ypr, -4.70, 10.93, 2.94, areal, -1455, -2298, -1013
2020-11-27_14-29-18-017, ypr, -4.60, 11.33, 2.77, areal, -1402, -1694, -3382
2020-11-27_14-29-18-032, ypr, -4.67, 11.43, 2.56, areal, -1743, -2423, -3412
2020-11-27_14-29-18-050, ypr, -4.98, 11.19, 1.82, areal, -1792, -2183, 1239
2020-11-27_14-29-18-067, ypr, -5.38, 11.22, 2.56, areal, -972, 1586, -2531
2020-11-27_14-29-18-082, ypr, -5.67, 11.11, 2.44, areal, -959, 1232, -1891
2020-11-27_14-29-18-099, ypr, -6.25, 10.80, 2.47, areal, -127, 3223, 421
2020-11-27_14-29-18-117, ypr, -6.89, 10.37, 2.11, areal, 859, 313, 703
2020-11-27_14-29-18-137, ypr, -7.45, 10.11, 1.53, areal, 1046, -147, -2013
2020-11-27_14-29-18-152, ypr, -7.69, 9.55, 1.13, areal, -303, -1646, 131
2020-11-27_14-29-18-169, ypr, -8.30, 8.67, 0.13, areal, -852, -3642, 1984
2020-11-27_14-29-18-187, ypr, -8.87, 8.46, 0.77, areal, -37, 772, -3485
2020-11-27_14-29-18-202, ypr, -9.10, 8.16, 0.67, areal, -717, 618, -1550
2020-11-27_14-29-18-221, ypr, -9.40, 7.85, 0.80, areal, -34, 1817, 1
2020-11-27_14-29-18-238, ypr, -9.82, 7.67, 0.83, areal, 889, 639, -1959
2020-11-27_14-29-18-255, ypr, -10.18, 7.39, 0.04, areal, 938, -978, -1253
2020-11-27_14-29-18-271, ypr, -10.36, 7.05, -0.04, areal, 127, 268, 883
2020-11-27_14-29-18-288, ypr, -10.87, 6.31, 0.04, areal, -185, 609, 3514
2020-11-27_14-29-18-307, ypr, -11.18, 6.16, 0.49, areal, 234, 1974, -1116
2020-11-27_14-29-18-322, ypr, -11.31, 5.92, 0.63, areal, -269, 2630, -34
2020-11-27_14-29-18-340, ypr, -11.48, 5.90, 0.57, areal, 875, -652, 1462
2020-11-27_14-29-18-356, ypr, -11.48, 6.14, -0.31, areal, 1694, -3579, -1961
2020-11-27_14-29-18-372, ypr, -11.49, 6.30, -0.48, areal, 1729, -3265, -2895
2020-11-27_14-29-18-390, ypr, -11.44, 6.36, -0.88, areal, 578, -1871, 733
2020-11-27_14-29-18-407, ypr, -11.38, 6.73, 0.02, areal, 1788, 2965, 1348
2020-11-27_14-29-18-422, ypr, -11.30, 7.00, 0.41, areal, 2165, 3248, 1157
2020-11-27_14-29-18-442, ypr, -10.98, 7.61, 0.05, areal, 2796, -1807, -465
2020-11-27_14-29-18-459, ypr, -10.79, 7.96, -0.54, areal, 1835, -1677, 1072
2020-11-27_14-29-18-478, ypr, -10.69, 8.13, -0.34, areal, 1651, -986, 2884
2020-11-27_14-29-18-495, ypr, -10.41, 8.81, 0.02, areal, 1875, 49, -2571
2020-11-27_14-29-18-510, ypr, -10.26, 9.09, 0.14, areal, 1803, 1038, -4147
2020-11-27_14-29-18-527, ypr, -9.99, 9.15, 0.39, areal, -342, 1961, 1048
2020-11-27_14-29-18-543, ypr, -9.82, 9.23, 0.43, areal, -253, 761, 2700
2020-11-27_14-29-18-560, ypr, -9.50, 9.70, 0.33, areal, 372, -3171, 301
2020-11-27_14-29-18-576, ypr, -9.30, 10.10, 0.24, areal, -675, -1781, -4494
2020-11-27_14-29-18-592, ypr, -9.31, 10.19, 0.70, areal, -1151, 1426, -6216
2020-11-27_14-29-18-609, ypr, -9.56, 10.12, 0.31, areal, -558, 554, -1181
2020-11-27_14-29-18-626, ypr, -9.81, 10.00, 0.21, areal, 676, 1322, 1760
2020-11-27_14-29-18-641, ypr, -10.01, 9.88, 0.30, areal, 944, 1368, 442
2020-11-27_14-29-18-657, ypr, -10.44, 9.41, -0.10, areal, 685, -51, -684
2020-11-27_14-29-18-672, ypr, -10.66, 9.05, -0.56, areal, 983, -1686, 422
2020-11-27_14-29-18-690, ypr, -11.19, 8.53, -1.39, areal, 443, -2844, 1387
2020-11-27_14-29-18-707, ypr, -11.79, 7.81, -1.09, areal, 487, 1075, 1379
2020-11-27_14-29-18-722, ypr, -12.06, 7.65, -0.73, areal, 951, 2371, 360
2020-11-27_14-29-18-742, ypr, -12.36, 7.34, -0.70, areal, 2210, 809, -785
2020-11-27_14-29-18-759, ypr, -12.43, 6.90, -1.28, areal, 1107, -1921, -300
2020-11-27_14-29-18-777, ypr, -12.50, 6.19, -0.74, areal, 728, 1699, 863
2020-11-27_14-29-18-795, ypr, -12.56, 6.06, -0.79, areal, 1801, -389, 317
2020-11-27_14-29-18-811, ypr, -12.43, 6.15, -0.83, areal, 1731, -829, 18
2020-11-27_14-29-18-828, ypr, -12.03, 5.67, -0.90, areal, -51, -1661, -886
2020-11-27_14-29-18-847, ypr, -12.03, 5.57, -0.52, areal, -821, 2718, 855
2020-11-27_14-29-18-862, ypr, -12.10, 5.12, -0.04, areal, -2027, 4225, 2804
2020-11-27_14-29-18-880, ypr, -12.21, 5.70, 0.96, areal, 1292, 2632, 1400
2020-11-27_14-29-18-896, ypr, -11.98, 6.03, 1.65, areal, 1421, 1268, -4420
2020-11-27_14-29-18-911, ypr, -11.74, 6.03, 1.49, areal, 138, -1417, -4174
2020-11-27_14-29-18-928, ypr, -11.13, 6.37, 0.44, areal, -141, -5262, -4328
2020-11-27_14-29-18-946, ypr, -10.58, 6.77, -0.25, areal, -1010, -5267, -2180
2020-11-27_14-29-18-962, ypr, -10.41, 7.02, -0.36, areal, 166, -3708, -738
2020-11-27_14-29-18-979, ypr, -10.27, 7.91, 0.50, areal, 1084, 1323, 1969
2020-11-27_14-29-18-996, ypr, -10.26, 8.76, 1.25, areal, 2799, 2001, 2311
2020-11-27_14-29-19-010, ypr, -10.09, 9.37, 1.67, areal, 2745, 2209, -915
2020-11-27_14-29-19-027, ypr, -9.48, 10.62, 1.90, areal, 2085, -76, -4187
2020-11-27_14-29-19-047, ypr, -8.62, 12.26, 1.60, areal, 2133, -2354, -2638
2020-11-27_14-29-19-063, ypr, -8.14, 13.27, 1.78, areal, 2523, -1849, -1910
2020-11-27_14-29-19-080, ypr, -7.14, 15.58, 3.00, areal, 3092, 1579, -2908
2020-11-27_14-29-19-097, ypr, -6.30, 17.88, 4.63, areal, 3768, 3358, -1669
2020-11-27_14-29-19-113, ypr, -5.96, 18.99, 5.05, areal, 4341, 1128, -2583
2020-11-27_14-29-19-130, ypr, -5.58, 21.70, 5.28, areal, 5133, -834, -11105
2020-11-27_14-29-19-149, ypr, -5.27, 23.29, 4.85, areal, 2463, -1642, -6869
2020-11-27_14-29-19-167, ypr, -4.83, 24.19, 5.57, areal, -203, 4544, -4784
2020-11-27_14-29-19-182, ypr, -4.56, 24.67, 6.43, areal, -1411, 6015, -6311
2020-11-27_14-29-19-200, ypr, -4.18, 26.01, 6.58, areal, -71, 2800, -6605
2020-11-27_14-29-19-217, ypr, -3.68, 26.66, 5.71, areal, -2978, -1680, -923
2020-11-27_14-29-19-233, ypr, -3.75, 26.61, 4.76, areal, -3116, -4481, 224
