2020-11-27_14-39-38-307, ypr, -66.25, 4.29, 0.47, areal, 282, -125, 436
2020-11-27_14-39-38-321, ypr, -65.99, 4.66, 0.57, areal, 299, -137, 446
2020-11-27_14-39-38-338, ypr, -65.44, 5.41, 0.78, areal, 319, -144, 436
2020-11-27_14-39-38-353, ypr, -65.17, 5.77, 0.89, areal, 309, -166, 438
2020-11-27_14-39-38-371, ypr, -64.62, 6.45, 1.09, areal, 260, -217, 458
2020-11-27_14-39-38-391, ypr, -64.08, 7.06, 1.31, areal, 58, -215, 421
2020-11-27_14-39-38-408, ypr, -63.54, 7.56, 1.53, areal, -227, -184, 342
2020-11-27_14-39-38-424, ypr, -63.27, 7.79, 1.63, areal, -353, -191, 327
2020-11-27_14-39-38-441, ypr, -62.76, 8.19, 1.83, areal, -516, -199, 256
2020-11-27_14-39-38-459, ypr, -62.27, 8.53, 2.01, areal, -669, -256, 171
2020-11-27_14-39-38-474, ypr, -62.02, 8.68, 2.09, areal, -760, -286, 128
2020-11-27_14-39-38-493, ypr, -61.55, 8.91, 2.26, areal, -1014, -307, 84
2020-11-27_14-39-38-510, ypr, -61.12, 9.07, 2.41, areal, -1186, -309, 63
2020-11-27_14-39-38-527, ypr, -60.74, 9.17, 2.53, areal, -1233, -321, 55
2020-11-27_14-39-38-542, ypr, -60.57, 9.18, 2.58, areal, -1272, -335, 40
2020-11-27_14-39-38-560, ypr, -60.28, 9.12, 2.64, areal, -1423, -360, 33
2020-11-27_14-39-38-577, ypr, -60.07, 8.96, 2.66, areal, -1564, -367, 21
2020-11-27_14-39-38-592, ypr, -59.98, 8.87, 2.66, areal, -1615, -377, 30
2020-11-27_14-39-38-609, ypr, -59.79, 8.65, 2.66, areal, -1757, -394, 22
2020-11-27_14-39-38-627, ypr, -59.64, 8.40, 2.64, areal, -1852, -424, -13
2020-11-27_14-39-38-642, ypr, -59.57, 8.27, 2.63, areal, -1859, -432, -15
2020-11-27_14-39-38-660, ypr, -59.44, 8.03, 2.60, areal, -1816, -465, 2
2020-11-27_14-39-38-678, ypr, -59.32, 7.82, 2.57, areal, -1724, -460, 10
2020-11-27_14-39-38-698, ypr, -59.21, 7.60, 2.55, areal, -1651, -438, 23
2020-11-27_14-39-38-713, ypr, -59.17, 7.49, 2.53, areal, -1617, -433, 34
2020-11-27_14-39-38-731, ypr, -59.09, 7.27, 2.49, areal, -1571, -444, 32
2020-11-27_14-39-38-748, ypr, -59.01, 7.02, 2.43, areal, -1650, -467, -17
2020-11-27_14-39-38-764, ypr, -58.98, 6.90, 2.41, areal, -1723, -456, -36
2020-11-27_14-39-38-782, ypr, -58.89, 6.66, 2.38, areal, -1841, -401, -69
2020-11-27_14-39-38-799, ypr, -58.80, 6.46, 2.37, areal, -1853, -367, -86
