2020-11-20_16-30-56.41, ypr, -39.45, -66.99, 3.85, areal, 12415, -1219, 13126
2020-11-20_16-30-56.43, ypr, -33.37, -62.68, 3.03, areal, 13078, -1298, 12595
2020-11-20_16-30-56.45, ypr, -27.75, -57.28, 2.78, areal, 13203, -1254, 11942
2020-11-20_16-30-56.47, ypr, -25.17, -53.98, 2.84, areal, 12859, -1149, 11559
2020-11-20_16-30-56.50, ypr, -20.37, -45.54, 3.06, areal, 11713, -856, 10647
2020-11-20_16-30-56.52, ypr, -16.63, -35.61, 3.06, areal, 11672, -1246, 9334
2020-11-20_16-30-56.54, ypr, -14.19, -26.21, 3.04, areal, 12245, -1468, 6784
2020-11-20_16-30-56.56, ypr, -13.29, -22.10, 2.96, areal, 11852, -1343, 5936
2020-11-20_16-30-56.58, ypr, -11.66, -14.73, 2.52, areal, 9624, -1025, 5376
2020-11-20_16-30-56.60, ypr, -10.04, -7.55, 2.01, areal, 6312, -569, 5778
2020-11-20_16-30-56.63, ypr, -8.26, 0.10, 1.91, areal, 3588, 178, 5541
2020-11-20_16-30-56.65, ypr, -7.41, 4.15, 2.04, areal, 2952, 217, 4553
2020-11-20_16-30-56.67, ypr, -6.37, 11.98, 2.65, areal, 2810, -715, 1467
2020-11-20_16-30-56.69, ypr, -6.20, 15.26, 3.19, areal, 2395, -1066, 589
2020-11-20_16-30-56.71, ypr, -6.08, 20.95, 4.49, areal, 742, -1254, 523
2020-11-20_16-30-56.73, ypr, -5.60, 25.76, 5.85, areal, -1728, -899, 1925
2020-11-20_16-30-56.76, ypr, -4.97, 30.38, 7.24, areal, -4247, -374, 2961
2020-11-20_16-30-56.78, ypr, -4.74, 35.11, 8.60, areal, -5854, -633, 3236
2020-11-20_16-30-56.80, ypr, -4.73, 37.57, 9.26, areal, -6279, -980, 2763
2020-11-20_16-30-56.82, ypr, -4.28, 42.30, 10.81, areal, -6335, -2085, 1772
2020-11-20_16-30-56.84, ypr, -2.70, 45.94, 12.83, areal, -6727, -2618, 1286
2020-11-20_16-30-56.86, ypr, -0.78, 48.84, 15.55, areal, -8110, -2188, 2050
2020-11-20_16-30-56.89, ypr, -0.22, 50.10, 17.31, areal, -8797, -1564, 2337
2020-11-20_16-30-56.91, ypr, -0.20, 52.59, 20.55, areal, -10286, -1609, 3846
2020-11-20_16-30-56.93, ypr, 0.47, 55.19, 23.79, areal, -11282, -1992, 4915
2020-11-20_16-30-56.95, ypr, 2.60, 57.72, 27.90, areal, -11655, -2529, 5112
2020-11-20_16-30-56.97, ypr, 4.25, 58.93, 30.33, areal, -11781, -2948, 5131
2020-11-20_16-30-56.99, ypr, 7.67, 61.13, 35.65, areal, -12049, -3560, 5408
2020-11-20_16-30-56.9999, ypr, 10.75, 62.62, 41.09, areal, -12743, -3677, 6280
2020-11-20_16-30-56.9999, ypr, 12.69, 63.03, 44.01, areal, -13158, -3695, 6798
2020-11-20_16-30-56.9999, ypr, 17.72, 63.36, 50.26, areal, -13496, -3582, 7307
2020-11-20_16-30-56.9999, ypr, 23.92, 63.17, 55.72, areal, -13870, -3812, 7821
2020-11-20_16-30-56.9999, ypr, 27.42, 63.00, 58.12, areal, -14099, -4034, 8137
2020-11-20_16-30-56.9999, ypr, 34.51, 62.76, 62.08, areal, -14066, -4538, 8409
2020-11-20_16-30-56.9999, ypr, 39.72, 62.52, 64.56, areal, -13892, -4880, 8336
2020-11-20_16-30-56.9999, ypr, 43.16, 61.88, 65.51, areal, -13878, -5206, 8651
2020-11-20_16-30-56.9999, ypr, 44.33, 61.40, 65.55, areal, -13876, -5401, 8842
2020-11-20_16-30-56.9999, ypr, 43.78, 59.59, 63.90, areal, -13910, -5879, 9260
2020-11-20_16-30-57.00, ypr, 42.15, 58.90, 62.72, areal, -13887, -5885, 9310
2020-11-20_16-30-57.02, ypr, 38.28, 57.38, 59.64, areal, -13946, -5582, 8999
2020-11-20_16-30-57.04, ypr, 34.93, 55.67, 56.24, areal, -13909, -5207, 8366
2020-11-20_16-30-57.06, ypr, 33.34, 54.80, 54.36, areal, -13847, -5126, 8086
2020-11-20_16-30-57.08, ypr, 30.13, 53.00, 50.08, areal, -13828, -5058, 7747
2020-11-20_16-30-57.10, ypr, 27.28, 51.19, 45.17, areal, -13321, -4830, 7048
2020-11-20_16-30-57.12, ypr, 25.80, 50.27, 42.49, areal, -13031, -4725, 6463
2020-11-20_16-30-57.14, ypr, 22.27, 48.33, 36.85, areal, -12571, -4714, 5463
2020-11-20_16-30-57.16, ypr, 17.22, 46.13, 31.23, areal, -12249, -4294, 4265
2020-11-20_16-30-57.18, ypr, 14.41, 44.82, 28.77, areal, -12052, -4007, 3895
2020-11-20_16-30-57.20, ypr, 9.21, 41.81, 24.36, areal, -11506, -3553, 3220
2020-11-20_16-30-57.22, ypr, 5.02, 38.34, 20.31, areal, -10710, -3364, 3193
2020-11-20_16-30-57.24, ypr, 1.82, 34.39, 16.17, areal, -10059, -2767, 2831
2020-11-20_16-30-57.26, ypr, -1.21, 30.30, 13.23, areal, -10656, -1678, 1995
2020-11-20_16-30-57.28, ypr, -2.43, 28.41, 12.46, areal, -10415, -1631, 2433
