2020-11-27_14-40-35-921, ypr, -64.18, 32.17, 25.10, areal, -5513, -3124, -741
2020-11-27_14-40-35-939, ypr, -64.31, 31.63, 24.77, areal, -5755, -2089, -723
2020-11-27_14-40-35-957, ypr, -64.42, 31.09, 24.52, areal, -5510, -1423, -288
2020-11-27_14-40-35-975, ypr, -64.56, 30.57, 24.20, areal, -5515, -1594, -590
2020-11-27_14-40-35-990, ypr, -64.67, 30.33, 23.97, areal, -5465, -2087, -499
2020-11-27_14-40-36-008, ypr, -65.00, 29.80, 23.30, areal, -5471, -2974, 75
2020-11-27_14-40-36-026, ypr, -65.18, 29.35, 23.00, areal, -5471, -2526, -447
2020-11-27_14-40-36-042, ypr, -65.22, 29.15, 22.96, areal, -5325, -1892, -717
2020-11-27_14-40-36-059, ypr, -65.18, 28.78, 23.00, areal, -5038, -855, -429
2020-11-27_14-40-36-077, ypr, -65.25, 28.43, 22.79, areal, -4662, -1553, 109
2020-11-27_14-40-36-099, ypr, -65.45, 28.25, 22.37, areal, -4260, -3090, -278
2020-11-27_14-40-36-117, ypr, -65.59, 28.12, 22.10, areal, -4251, -2949, -1199
2020-11-27_14-40-36-136, ypr, -65.56, 27.91, 22.01, areal, -4154, -2044, -341
2020-11-27_14-40-36-156, ypr, -65.55, 27.62, 21.84, areal, -3876, -1621, 86
2020-11-27_14-40-36-171, ypr, -65.53, 27.54, 21.79, areal, -3699, -1851, 106
2020-11-27_14-40-36-188, ypr, -65.62, 27.33, 21.39, areal, -3684, -2967, 302
2020-11-27_14-40-36-207, ypr, -65.58, 27.22, 21.26, areal, -3442, -2766, -1074
2020-11-27_14-40-36-225, ypr, -65.66, 27.09, 20.76, areal, -3220, -3350, 132
2020-11-27_14-40-36-241, ypr, -65.71, 26.85, 20.51, areal, -3310, -2842, 1509
2020-11-27_14-40-36-259, ypr, -65.67, 26.24, 20.42, areal, -3443, -1519, 2264
2020-11-27_14-40-36-276, ypr, -65.64, 26.05, 20.51, areal, -3191, -1696, -1075
