2020-11-20_16-29-07.64, ypr, 0.38, -0.21, -0.40, areal, 42, 10, -49
2020-11-20_16-29-07.67, ypr, 0.45, -0.49, -0.44, areal, 83, 54, -89
2020-11-20_16-29-07.69, ypr, 0.46, -0.68, -0.46, areal, 124, 45, -68
2020-11-20_16-29-07.72, ypr, 0.49, -1.12, -0.50, areal, 235, 29, -109
2020-11-20_16-29-07.74, ypr, 0.53, -1.43, -0.47, areal, 261, 120, -70
2020-11-20_16-29-07.77, ypr, 0.57, -1.94, -0.55, areal, 412, 25, -107
2020-11-20_16-29-07.79, ypr, 0.63, -2.66, -0.56, areal, 650, 6, -198
2020-11-20_16-29-07.82, ypr, 0.65, -3.10, -0.54, areal, 847, 12, -245
2020-11-20_16-29-07.84, ypr, 0.56, -3.89, -0.37, areal, 1121, -49, -281
2020-11-20_16-29-07.87, ypr, 0.40, -4.66, -0.06, areal, 1228, -66, -249
2020-11-20_16-29-07.89, ypr, 0.30, -5.45, 0.24, areal, 1399, -129, -278
2020-11-20_16-29-07.92, ypr, 0.19, -6.31, 0.50, areal, 1840, -104, -402
2020-11-20_16-29-07.94, ypr, 0.10, -6.73, 0.54, areal, 2123, -232, -473
2020-11-20_16-29-07.97, ypr, -0.11, -7.87, 0.72, areal, 2449, -47, -556
2020-11-20_16-29-07.99, ypr, -0.38, -9.37, 0.85, areal, 2670, 1, -529
2020-11-20_16-29-07.9999, ypr, -0.49, -10.25, 0.85, areal, 2835, -114, -421
2020-11-20_16-29-07.9999, ypr, -0.57, -12.35, 0.76, areal, 3366, -353, -173
2020-11-20_16-29-07.9999, ypr, -0.45, -14.06, 0.62, areal, 3801, -1059, 778
2020-11-20_16-29-07.9999, ypr, -0.28, -14.44, 0.51, areal, 4079, -682, 468
2020-11-20_16-29-07.9999, ypr, -0.27, -15.91, 0.60, areal, 4411, -225, 460
2020-11-20_16-29-07.9999, ypr, -0.46, -17.59, 0.67, areal, 4842, -144, 840
2020-11-20_16-29-07.9999, ypr, -0.62, -19.17, 0.66, areal, 5140, -229, 1270
2020-11-20_16-29-07.9999, ypr, -0.66, -19.92, 0.60, areal, 5220, -336, 1461
2020-11-20_16-29-07.9999, ypr, -0.61, -21.30, 0.42, areal, 5628, -469, 1713
2020-11-20_16-29-07.9999, ypr, -0.59, -21.93, 0.37, areal, 6028, -417, 1751
2020-11-20_16-29-07.9999, ypr, -0.67, -23.23, 0.39, areal, 6802, -370, 1866
2020-11-20_16-29-07.9999, ypr, -0.95, -24.74, 0.61, areal, 7230, -426, 2195
2020-11-20_16-29-07.9999, ypr, -1.21, -26.29, 0.71, areal, 7468, -427, 2584
2020-11-20_16-29-07.9999, ypr, -1.25, -27.02, 0.70, areal, 7627, -398, 2718
2020-11-20_16-29-07.9999, ypr, -1.23, -28.53, 0.52, areal, 7997, -346, 2926
2020-11-20_16-29-07.9999, ypr, -1.16, -30.02, 0.30, areal, 8496, -333, 3169
2020-11-20_16-29-07.9999, ypr, -1.17, -30.76, 0.24, areal, 8895, -302, 3313
2020-11-20_16-29-07.9999, ypr, -1.29, -32.38, 0.14, areal, 9717, -263, 3560
2020-11-20_16-29-07.9999, ypr, -1.52, -34.21, 0.06, areal, 10177, -206, 3972
2020-11-20_16-29-08.00, ypr, -1.74, -35.12, 0.12, areal, 10282, -213, 4239
2020-11-20_16-29-08.02, ypr, -2.33, -36.77, 0.42, areal, 10564, -383, 4809
2020-11-20_16-29-08.04, ypr, -2.68, -37.52, 0.63, areal, 10829, -406, 5053
2020-11-20_16-29-08.06, ypr, -3.50, -38.88, 1.14, areal, 11241, -392, 5453
2020-11-20_16-29-08.08, ypr, -4.34, -40.27, 1.74, areal, 11686, -508, 5958
2020-11-20_16-29-08.10, ypr, -4.73, -40.97, 2.04, areal, 11809, -681, 6165
2020-11-20_16-29-08.12, ypr, -5.59, -42.57, 2.83, areal, 11997, -732, 6642
2020-11-20_16-29-08.15, ypr, -6.46, -43.88, 3.79, areal, 12078, -794, 7401
2020-11-20_16-29-08.17, ypr, -6.89, -44.31, 4.25, areal, 12041, -904, 7571
2020-11-20_16-29-08.19, ypr, -7.75, -45.17, 4.96, areal, 12036, -1220, 8106
2020-11-20_16-29-08.21, ypr, -8.78, -46.05, 5.61, areal, 12544, -1389, 8544
2020-11-20_16-29-08.23, ypr, -10.42, -47.12, 6.46, areal, 12786, -1418, 8844
2020-11-20_16-29-08.25, ypr, -11.48, -47.68, 6.97, areal, 12665, -1489, 9080
2020-11-20_16-29-08.27, ypr, -13.69, -48.75, 7.80, areal, 12027, -1900, 9779
2020-11-20_16-29-08.29, ypr, -15.54, -49.44, 8.31, areal, 11480, -2221, 10435
2020-11-20_16-29-08.31, ypr, -16.24, -49.63, 8.42, areal, 11826, -2355, 10637
2020-11-20_16-29-08.33, ypr, -17.50, -50.11, 8.41, areal, 13086, -2206, 10917
2020-11-20_16-29-08.35, ypr, -18.76, -50.82, 7.98, areal, 13161, -1954, 11112
2020-11-20_16-29-08.37, ypr, -19.37, -51.11, 7.62, areal, 12917, -2050, 11179
2020-11-20_16-29-08.39, ypr, -20.59, -51.43, 6.89, areal, 12978, -2149, 11255
2020-11-20_16-29-08.41, ypr, -21.14, -51.42, 6.68, areal, 12994, -2154, 11267
2020-11-20_16-29-08.44, ypr, -21.95, -51.09, 6.22, areal, 12859, -2173, 11245
2020-11-20_16-29-08.46, ypr, -22.43, -50.26, 5.75, areal, 12674, -2147, 11160
2020-11-20_16-29-08.48, ypr, -22.47, -49.66, 5.48, areal, 12690, -2174, 11095
2020-11-20_16-29-08.50, ypr, -22.16, -47.99, 4.73, areal, 12536, -2065, 10914
2020-11-20_16-29-08.52, ypr, -21.39, -45.60, 3.89, areal, 12275, -2195, 10662
2020-11-20_16-29-08.54, ypr, -20.93, -44.15, 3.59, areal, 12029, -2313, 10515
2020-11-20_16-29-08.56, ypr, -19.94, -40.62, 3.23, areal, 11471, -2418, 10174
2020-11-20_16-29-08.58, ypr, -19.38, -38.53, 3.08, areal, 11303, -2522, 9983
2020-11-20_16-29-08.60, ypr, -17.43, -31.28, 2.45, areal, 11495, -2679, 9388
2020-11-20_16-29-08.62, ypr, -16.76, -29.04, 2.18, areal, 11364, -2704, 9227
2020-11-20_16-29-08.64, ypr, -15.34, -24.48, 1.68, areal, 10481, -2585, 8930
2020-11-20_16-29-08.66, ypr, -14.61, -21.95, 1.43, areal, 9781, -2509, 8787
2020-11-20_16-29-08.68, ypr, -13.22, -16.42, 1.00, areal, 8560, -2254, 8522
2020-11-20_16-29-08.71, ypr, -11.82, -10.61, 0.79, areal, 8555, -2315, 7598
2020-11-20_16-29-08.73, ypr, -10.91, -5.77, 0.88, areal, 8412, -1873, 6646
2020-11-20_16-29-08.75, ypr, -10.53, -3.61, 0.90, areal, 7953, -1666, 6362
2020-11-20_16-29-08.77, ypr, -9.71, 0.65, 0.91, areal, 6744, -1437, 6014
2020-11-20_16-29-08.79, ypr, -9.32, 2.75, 0.90, areal, 6022, -1307, 5896
2020-11-20_16-29-08.81, ypr, -8.84, 6.92, 0.88, areal, 4480, -1107, 5637
2020-11-20_16-29-08.83, ypr, -8.89, 11.07, 0.87, areal, 3255, -987, 5273
2020-11-20_16-29-08.85, ypr, -9.03, 13.09, 0.90, areal, 2930, -1157, 5012
2020-11-20_16-29-08.87, ypr, -9.36, 17.01, 0.98, areal, 3184, -1393, 4227
2020-11-20_16-29-08.89, ypr, -9.32, 18.73, 1.07, areal, 3360, -1151, 3741
2020-11-20_16-29-08.91, ypr, -8.71, 21.55, 1.27, areal, 3028, -817, 3230
2020-11-20_16-29-08.93, ypr, -8.32, 22.85, 1.30, areal, 2635, -799, 3218
2020-11-20_16-29-08.95, ypr, -7.54, 25.34, 1.34, areal, 1381, -895, 3309
2020-11-20_16-29-08.97, ypr, -7.21, 28.06, 1.55, areal, 234, -1014, 3474
2020-11-20_16-29-08.00, ypr, -7.55, 31.08, 1.80, areal, -308, -1183, 3446
2020-11-20_16-29-08.9999, ypr, -7.86, 32.64, 1.91, areal, -535, -1271, 3329
2020-11-20_16-29-08.9999, ypr, -8.37, 35.24, 2.07, areal, -849, -1276, 2791
2020-11-20_16-29-08.9999, ypr, -8.45, 37.35, 2.30, areal, -1068, -1171, 2425
2020-11-20_16-29-08.9999, ypr, -8.41, 38.36, 2.46, areal, -1219, -1112, 2539
2020-11-20_16-29-08.9999, ypr, -8.56, 40.65, 2.64, areal, -1780, -1411, 2622
2020-11-20_16-29-08.9999, ypr, -8.76, 41.74, 2.65, areal, -2201, -1526, 2808
2020-11-20_16-29-08.9999, ypr, -9.63, 44.33, 2.72, areal, -3360, -1675, 3225
2020-11-20_16-29-08.9999, ypr, -10.87, 47.50, 3.02, areal, -3729, -1726, 3283
2020-11-20_16-29-08.9999, ypr, -11.42, 49.12, 3.31, areal, -3734, -1703, 3232
2020-11-20_16-29-08.9999, ypr, -12.51, 52.11, 4.07, areal, -4024, -1490, 3126
2020-11-20_16-29-08.9999, ypr, -13.17, 53.49, 4.45, areal, -4381, -1538, 3288
2020-11-20_16-29-08.9999, ypr, -14.79, 56.22, 4.97, areal, -5405, -1605, 3717
2020-11-20_16-29-09.00, ypr, -16.96, 59.09, 5.23, areal, -6508, -1674, 4181
2020-11-20_16-29-09.02, ypr, -18.46, 60.66, 5.35, areal, -7041, -1678, 4483
2020-11-20_16-29-09.04, ypr, -21.82, 63.97, 5.96, areal, -8195, -1761, 5155
2020-11-20_16-29-09.06, ypr, -23.54, 65.73, 6.76, areal, -8791, -1791, 5406
