2020-11-27_14-39-04-383, ypr, 8.08, -2.45, 0.61, areal, 376, -3013, -1321
2020-11-27_14-39-04-402, ypr, 7.78, -3.06, 0.29, areal, -116, -2084, 1408
2020-11-27_14-39-04-421, ypr, 7.50, -3.34, 0.60, areal, -119, -1616, 2322
2020-11-27_14-39-04-437, ypr, 7.29, -3.62, 0.53, areal, 109, -1858, 1251
2020-11-27_14-39-04-455, ypr, 7.04, -3.47, 1.51, areal, 2649, 4481, -5758
2020-11-27_14-39-04-474, ypr, 6.91, -3.94, 1.08, areal, 450, 702, 270
2020-11-27_14-39-04-491, ypr, 6.63, -4.44, 0.98, areal, 843, 978, -854
2020-11-27_14-39-04-507, ypr, 6.48, -4.54, 0.95, areal, 916, -292, -59
2020-11-27_14-39-04-526, ypr, 6.22, -5.27, 0.09, areal, -884, -3613, 3756
2020-11-27_14-39-04-545, ypr, 5.81, -5.53, 0.81, areal, 713, -930, -116
2020-11-27_14-39-04-564, ypr, 5.64, -5.40, 1.83, areal, 3812, 5078, -8094
2020-11-27_14-39-04-586, ypr, 5.78, -5.52, 1.73, areal, 1650, 3035, -3674
2020-11-27_14-39-04-604, ypr, 5.47, -6.67, 0.98, areal, -445, 1328, 925
2020-11-27_14-39-04-623, ypr, 5.20, -6.73, 0.69, areal, 354, -3314, 1341
2020-11-27_14-39-04-641, ypr, 4.86, -7.21, -0.21, areal, 1153, -4201, -1720
2020-11-27_14-39-04-661, ypr, 4.69, -7.24, -0.64, areal, 1874, -5801, -986
2020-11-27_14-39-04-678, ypr, 4.58, -7.46, -1.07, areal, 943, -5669, 1470
2020-11-27_14-39-04-696, ypr, 4.30, -7.82, 0.45, areal, 1884, 3559, 787
2020-11-27_14-39-04-714, ypr, 4.31, -7.91, 1.69, areal, 1737, 5396, 536
2020-11-27_14-39-04-732, ypr, 4.21, -8.21, 1.76, areal, 2090, 1917, -1509
2020-11-27_14-39-04-748, ypr, 4.19, -8.39, 1.11, areal, 1821, -2460, -510
2020-11-27_14-39-04-767, ypr, 4.06, -8.73, -0.29, areal, 1399, -6210, -1533
2020-11-27_14-39-04-786, ypr, 3.92, -8.88, -0.80, areal, 2656, -4090, -2726
2020-11-27_14-39-04-805, ypr, 3.99, -8.94, -0.43, areal, 1870, 1468, 430
2020-11-27_14-39-04-823, ypr, 3.95, -9.44, 0.57, areal, 50, 3127, 4059
2020-11-27_14-39-04-841, ypr, 3.82, -9.85, 0.96, areal, 703, 863, 2198
2020-11-27_14-39-04-857, ypr, 3.76, -9.90, 1.03, areal, 1328, 29, 587
2020-11-27_14-39-04-874, ypr, 3.66, -10.05, 1.12, areal, 2889, 139, -3320
2020-11-27_14-39-04-896, ypr, 3.78, -10.05, 0.79, areal, 2942, -1328, -3059
2020-11-27_14-39-04-915, ypr, 3.81, -10.41, 0.64, areal, 1603, 868, 1308
2020-11-27_14-39-04-933, ypr, 3.83, -10.53, 1.61, areal, 1783, 3093, 2173
2020-11-27_14-39-04-952, ypr, 3.86, -10.69, 1.10, areal, 2103, -1531, 369
2020-11-27_14-39-04-970, ypr, 4.02, -10.90, 0.35, areal, 2278, -3876, -1713
2020-11-27_14-39-04-991, ypr, 4.12, -11.16, -0.26, areal, 1486, -3183, 1576
2020-11-27_14-39-05-008, ypr, 4.11, -11.19, 0.21, areal, 2236, 51, -20
2020-11-27_14-39-05-028, ypr, 4.40, -11.15, 0.79, areal, 2034, 1776, 492
2020-11-27_14-39-05-046, ypr, 4.46, -11.47, 1.16, areal, 1599, 1784, 1186
2020-11-27_14-39-05-064, ypr, 4.54, -11.69, 0.68, areal, 1712, -2026, 666
2020-11-27_14-39-05-082, ypr, 4.54, -11.72, 0.58, areal, 3049, -386, -1276
2020-11-27_14-39-05-101, ypr, 4.75, -11.73, 0.52, areal, 2875, -269, -799
