2020-11-20_16-19-44.25, ypr, 1.81, 0.19, 0.85, areal, -46, -222, -37
2020-11-20_16-19-44.28, ypr, 1.68, 0.27, 0.89, areal, -54, -247, -27
2020-11-20_16-19-44.31, ypr, 1.46, 0.30, 0.89, areal, -138, -247, -29
2020-11-20_16-19-44.34, ypr, 1.33, 0.37, 0.90, areal, -155, -277, -46
2020-11-20_16-19-44.37, ypr, 1.31, 0.43, 0.93, areal, -125, -273, -43
2020-11-20_16-19-44.40, ypr, 1.15, 0.54, 1.01, areal, -73, -252, -42
2020-11-20_16-19-44.43, ypr, 1.04, 0.60, 1.07, areal, -132, -263, -28
2020-11-20_16-19-44.46, ypr, 0.96, 0.70, 1.13, areal, -182, -279, -27
2020-11-20_16-19-44.49, ypr, 0.90, 0.79, 1.19, areal, -216, -251, -16
2020-11-20_16-19-44.53, ypr, 0.84, 0.80, 1.20, areal, -237, -270, -20
2020-11-20_16-19-44.56, ypr, 0.64, 0.80, 1.17, areal, -230, -326, -22
2020-11-20_16-19-44.59, ypr, 0.62, 0.79, 1.14, areal, -265, -402, -31
2020-11-20_16-19-44.62, ypr, 0.69, 0.79, 1.15, areal, -209, -308, -29
2020-11-20_16-19-44.65, ypr, 0.77, 0.78, 1.14, areal, -245, -354, -42
2020-11-20_16-19-44.68, ypr, 0.82, 0.76, 1.12, areal, -284, -435, -40
2020-11-20_16-19-44.71, ypr, 0.90, 0.78, 1.13, areal, -258, -434, -44
2020-11-20_16-19-44.74, ypr, 0.89, 0.87, 1.20, areal, -282, -430, -34
2020-11-20_16-19-44.77, ypr, 0.90, 0.89, 1.21, areal, -296, -429, -27
2020-11-20_16-19-44.80, ypr, 0.90, 0.84, 1.16, areal, -299, -412, -14
2020-11-20_16-19-44.83, ypr, 0.92, 0.70, 1.03, areal, -279, -401, -10
2020-11-20_16-19-44.87, ypr, 0.95, 0.52, 0.86, areal, -242, -373, -20
2020-11-20_16-19-44.90, ypr, 0.98, 0.43, 0.77, areal, -261, -422, -18
2020-11-20_16-19-44.93, ypr, 1.16, 0.20, 0.57, areal, -182, -279, 12
2020-11-20_16-19-44.96, ypr, 1.31, -0.18, 0.00, areal, -161, -102, 68
2020-11-20_16-19-44.99, ypr, 1.42, -0.51, -0.53, areal, -22, 38, 62
2020-11-20_16-19-44.9999, ypr, 1.55, -1.46, -1.10, areal, 664, 268, -558
2020-11-20_16-19-44.9999, ypr, 1.69, -2.70, -1.60, areal, 767, 344, -573
