2020-11-27_14-34-26-025, ypr, -21.12, -66.20, -15.16, areal, 2946, -11154, 4789
2020-11-27_14-34-26-041, ypr, -22.40, -66.55, -12.52, areal, 6066, -8713, 2743
2020-11-27_14-34-26-060, ypr, -22.46, -65.67, -10.60, areal, 7367, -11222, 5090
2020-11-27_14-34-26-079, ypr, -23.49, -65.91, -7.54, areal, 6683, -8731, 1268
2020-11-27_14-34-26-097, ypr, -23.90, -65.28, -5.83, areal, 7035, -11487, 3705
2020-11-27_14-34-26-116, ypr, -27.12, -66.17, -3.53, areal, 5807, -13724, 6540
2020-11-27_14-34-26-135, ypr, -34.11, -68.60, 4.82, areal, 1564, -13210, 3665
2020-11-27_14-34-26-151, ypr, -37.16, -69.12, 9.11, areal, 6846, -14020, 5875
2020-11-27_14-34-26-169, ypr, -42.64, -70.25, 19.23, areal, 6211, -8180, 148
2020-11-27_14-34-26-187, ypr, -51.28, -71.28, 30.17, areal, 4722, -11685, 3677
2020-11-27_14-34-26-205, ypr, -57.64, -69.78, 42.31, areal, 6646, -7058, 34
2020-11-27_14-34-26-221, ypr, -63.08, -69.23, 48.94, areal, 5712, -8565, 657
2020-11-27_14-34-26-240, ypr, -68.91, -67.81, 54.57, areal, 5177, -12464, 2867
2020-11-27_14-34-26-262, ypr, -79.32, -64.91, 64.33, areal, 6290, -8987, -773
2020-11-27_14-34-26-281, ypr, -83.67, -62.67, 66.45, areal, 5500, -12629, 3173
2020-11-27_14-34-26-300, ypr, -94.58, -58.22, 72.73, areal, 7771, -9425, 841
2020-11-27_14-34-26-319, ypr, -103.62, -55.86, 76.40, areal, 3774, -11510, 1465
2020-11-27_14-34-26-337, ypr, -119.88, -50.56, 83.72, areal, 3831, -7809, 1338
2020-11-27_14-34-26-357, ypr, -120.42, -50.28, 83.80, areal, -2583, -11757, 4426
2020-11-27_14-34-26-376, ypr, -129.30, -46.29, 87.21, areal, 6378, -5252, 3894
2020-11-27_14-34-26-392, ypr, -132.32, -44.57, 88.05, areal, 4594, -2315, 1942
2020-11-27_14-34-26-410, ypr, -135.34, -44.07, 89.62, areal, -24, -8082, 5981
2020-11-27_14-34-26-429, ypr, -137.02, -135.70, 90.92, areal, -3734, -8650, 5053
2020-11-27_14-34-26-447, ypr, -137.03, -135.41, 91.13, areal, -1230, -12359, 5513
2020-11-27_14-34-26-466, ypr, -140.03, -136.37, 92.51, areal, 3749, -10670, 2349
2020-11-27_14-34-26-482, ypr, -139.31, -136.00, 92.27, areal, 4136, -12269, 4605
2020-11-27_14-34-26-500, ypr, -139.56, -135.46, 92.83, areal, -2187, -8964, 2408
2020-11-27_14-34-26-519, ypr, -139.58, -135.02, 93.19, areal, -1668, -10519, 3121
2020-11-27_14-34-26-538, ypr, -141.38, -135.09, 94.48, areal, -2201, -10091, 2105
2020-11-27_14-34-26-560, ypr, -140.80, -134.42, 94.58, areal, 507, -10485, 3053
2020-11-27_14-34-26-578, ypr, -141.50, -134.28, 95.32, areal, -872, -10434, 3219
2020-11-27_14-34-26-597, ypr, -141.58, -134.17, 95.56, areal, 44, -9128, 2900
2020-11-27_14-34-26-616, ypr, -141.44, -133.82, 95.82, areal, -886, -9157, 2515
2020-11-27_14-34-26-635, ypr, -140.27, -132.99, 95.57, areal, 770, -7838, 1714
2020-11-27_14-34-26-651, ypr, -140.41, -132.83, 95.84, areal, 81, -8054, 1432
2020-11-27_14-34-26-669, ypr, -138.85, -131.75, 95.62, areal, -283, -9466, 2361
2020-11-27_14-34-26-688, ypr, -138.16, -131.18, 95.57, areal, 252, -8748, 1357
2020-11-27_14-34-26-706, ypr, -136.32, -129.95, 95.15, areal, 401, -9754, 1720
2020-11-27_14-34-26-722, ypr, -135.64, -129.54, 94.95, areal, 730, -8822, 1088
2020-11-27_14-34-26-741, ypr, -133.73, -128.28, 94.48, areal, 124, -9537, 1164
2020-11-27_14-34-26-759, ypr, -131.51, -127.23, 93.53, areal, 19, -9679, 1265
2020-11-27_14-34-26-777, ypr, -128.16, -124.11, 93.43, areal, -1601, -4927, -956
2020-11-27_14-34-26-796, ypr, -122.28, -122.12, 90.15, areal, 1994, -7766, 2620
2020-11-27_14-34-26-812, ypr, -120.47, -120.36, 90.10, areal, 896, -8878, 3415
2020-11-27_14-34-26-830, ypr, -114.65, -62.09, 87.27, areal, 2974, -9256, 1792
2020-11-27_14-34-26-849, ypr, -107.32, -64.39, 82.96, areal, 9588, -10086, 4529
2020-11-27_14-34-26-870, ypr, -99.17, -66.85, 77.70, areal, 7161, -11054, 4923
2020-11-27_14-34-26-889, ypr, -90.89, -68.81, 71.60, areal, 4813, -10031, 2751
2020-11-27_14-34-26-907, ypr, -82.29, -70.39, 64.06, areal, 4530, -10611, 2265
2020-11-27_14-34-26-927, ypr, -75.81, -71.41, 57.00, areal, 1072, -12870, 3953
2020-11-27_14-34-26-945, ypr, -70.32, -71.27, 51.40, areal, 577, -10311, 1819
2020-11-27_14-34-26-961, ypr, -68.67, -71.01, 49.47, areal, 1653, -11201, 3029
2020-11-27_14-34-26-981, ypr, -64.36, -68.46, 46.41, areal, 7678, -3290, 3993
2020-11-27_14-34-26-999, ypr, -73.36, -69.63, 52.51, areal, 1997, -8471, 4704
2020-11-27_14-34-27-017, ypr, -75.68, -68.77, 53.85, areal, 2394, -9940, 3306
2020-11-27_14-34-27-035, ypr, -75.82, -70.13, 52.67, areal, -1026, -8768, 155
2020-11-27_14-34-27-052, ypr, -74.23, -70.97, 49.56, areal, -3014, -9283, 2312
2020-11-27_14-34-27-071, ypr, -69.26, -72.58, 41.34, areal, -3503, -8416, 3131
2020-11-27_14-34-27-089, ypr, -59.45, -71.67, 28.22, areal, 791, -8655, 4543
2020-11-27_14-34-27-108, ypr, -50.88, -70.19, 16.61, areal, 2959, -8373, 3153
2020-11-27_14-34-27-126, ypr, -44.35, -68.64, 8.88, areal, 7131, -7452, 1560
2020-11-27_14-34-27-142, ypr, -40.85, -67.19, 5.02, areal, 10748, -7610, 2364
2020-11-27_14-34-27-160, ypr, -39.00, -67.11, 0.80, areal, 8185, -6579, 736
2020-11-27_14-34-27-183, ypr, -36.70, -66.04, -3.63, areal, 7600, -8283, 3642
